SAMPLE;Position;Si;Ti;Al;Fe;Mn;Mg;Ca;K;P;S;V;Cr;Ni;Cu;Zn;Sr;Rb;Nb;Zr;Y;Pb;Th;U;Mo;Se;As;Hg;Au;W;Co;Sc;Ba;Cs;Te;Sb;Sn;Cd;Ag;Pd;Ce;La;Bi;Re;Ta;Hf;Cl;Bal
H006;4;277065;3724;81464;30392;648;151;22356;23854;3720;145;126;69;70;0;68;165;113;14;165;23;24;4;-2;0;0;16;0;0;-98;39;8;1255;102;504;71;1;0;0;43;356;208;0;0;0;0;525;545627
H014;4;261731;3452;104345;37658;908;5632;76555;20984;1315;352;95;111;145;23;77;349;131;15;106;23;21;5;-1;0;0;11;0;0;-88;35;22;739;78;486;70;0;0;0;47;357;221;0;0;0;0;915;455276
H045;4;233695;2723;75708;21798;638;11897;158962;10520;2970;0;80;57;64;0;53;289;123;12;169;19;7;4;1;0;0;12;0;1;-60;60;30;744;64;468;58;0;0;0;38;369;234;0;0;0;0;1056;460915
H047;4;265295;4339;115425;29332;545;3217;70583;20606;1328;534;119;51;108;0;69;607;124;15;143;21;24;4;0;0;0;19;0;0;-98;71;21;785;21;443;51;-1;0;0;44;272;174;0;0;0;0;800;466248
H052;4;297455;3890;95532;37382;1167;0;13591;20009;1501;147;99;105;104;0;64;135;126;15;173;25;28;4;1;0;0;11;0;0;-95;37;3;785;57;477;60;0;0;0;43;330;209;0;0;0;0;505;516776
H053;4;296822;3942;94778;38282;1312;0;14628;23083;599;184;105;103;99;0;77;138;134;15;184;24;29;4;1;0;0;11;0;0;-83;42;6;791;53;471;61;0;0;0;42;328;199;0;0;0;0;543;517131
H056;4;357094;7878;123908;38847;412;0;9108;11122;293;60;117;224;141;0;51;69;97;34;282;27;28;5;0;0;0;3;0;0;-83;24;1;394;10;428;47;-1;0;0;41;297;187;0;0;0;0;757;439387
H057;4;233678;2635;70201;19676;658;9112;141928;15917;2814;0;70;34;0;30;47;287;74;10;154;20;21;4;1;0;0;15;0;0;-70;27;22;729;65;467;59;-1;0;0;40;361;227;0;0;0;0;943;493882
H058;4;328516;3615;86936;26423;351;434;19598;20614;535;144;91;38;30;12;45;107;102;13;231;25;24;4;0;0;0;4;0;0;-86;0;3;696;45;458;60;0;0;0;44;308;195;0;0;0;0;575;505313
H060;4;220020;2827;80917;29752;674;2461;80261;17136;1370;114;86;46;121;10;52;271;86;10;77;17;18;2;1;0;0;11;0;1;-75;55;25;843;160;559;84;1;0;0;47;448;283;2;0;0;0;668;541955
H066;4;335598;4123;90178;28727;315;0;12608;12811;265;27;81;46;30;0;43;92;95;16;280;26;23;4;1;0;0;6;0;0;-92;6;3;562;25;455;62;-1;0;0;49;283;166;2;0;0;0;621;502314
H071;4;299317;3796;81024;30284;495;0;25492;18659;887;89;105;56;100;59;56;127;111;16;225;26;25;4;2;0;0;9;0;0;-83;38;8;848;57;471;64;0;0;0;42;333;208;0;0;0;0;816;523225
H076;4;261039;3229;107623;31761;1020;7085;102880;20419;2065;556;103;88;153;18;86;456;113;13;98;20;22;4;0;0;0;10;0;0;-90;47;29;711;66;486;66;0;0;0;51;320;207;1;0;0;0;2362;424408
H077;4;286615;3255;93854;39156;1221;0;15302;15384;2481;58;148;91;105;0;48;183;132;27;209;26;21;5;4;0;0;28;0;0;-102;0;4;1662;90;481;63;0;0;0;45;364;233;0;0;0;0;447;534304
H078;4;286285;2857;75479;23744;600;0;15864;16484;2059;102;124;24;0;0;34;154;109;20;218;19;16;4;1;0;0;17;0;0;-96;0;4;1393;65;471;59;-1;0;0;41;317;211;1;0;0;0;428;568356
H079;4;257987;3175;78840;35439;485;0;5759;23552;1789;74;90;73;67;123;81;73;103;18;168;19;23;4;0;0;0;16;0;0;-103;0;3;786;57;470;64;0;0;0;42;332;208;0;0;0;0;310;586743
H087;4;301079;4449;112673;42498;825;0;14748;21965;1668;84;134;108;123;16;80;129;130;18;181;30;26;4;3;0;0;14;0;0;-101;75;3;664;3;425;47;-1;0;0;42;284;158;2;0;0;0;709;477610
H088;4;321918;3111;115743;22508;296;0;4914;19133;0;102;100;33;84;5;57;96;276;18;194;27;21;3;9;0;0;15;8;0;-97;5;1;795;155;502;72;1;0;0;49;331;185;11;0;0;0;793;490580
H089;4;293236;2260;102740;21200;340;0;15207;15102;1812;147;120;41;131;19;85;125;194;20;224;25;31;5;12;0;0;15;0;0;-91;51;-2;907;41;453;56;-1;0;0;42;303;186;0;0;0;0;2097;516926
H092;4;299295;3293;104165;24108;537;1372;27402;16321;1230;116;106;56;120;33;119;180;139;19;216;25;29;3;5;0;0;14;0;0;-95;67;7;694;50;487;67;1;0;0;47;282;176;6;0;0;0;1204;489186
H095;4;350138;9749;121019;18933;308;0;4659;9410;545;27;119;202;118;0;32;100;74;46;365;30;26;5;2;0;0;7;0;0;-77;0;2;488;9;406;42;-2;0;0;35;374;240;0;0;0;0;505;478136
H100;4;247058;3778;84851;27694;816;842;61851;16924;2395;200;143;37;81;15;77;471;102;11;129;21;26;3;1;0;0;21;0;0;-89;41;15;1275;77;480;66;0;0;0;46;336;209;0;0;0;0;763;535513
H102;4;238571;3389;89193;27760;857;7184;119079;19229;1293;438;93;68;120;30;70;340;99;12;90;19;17;4;0;0;0;9;0;0;-90;0;31;882;98;503;69;0;0;0;48;365;237;1;0;0;0;693;485289
H111;4;298337;4745;116736;46570;703;501;17583;26080;813;152;123;139;118;14;98;132;162;20;198;31;28;5;3;0;0;13;0;0;-98;31;5;554;-32;393;34;-1;0;0;37;267;165;0;0;0;0;1362;473002
H112;4;267708;3544;105556;35753;877;6180;86372;9918;2047;62;119;101;145;16;57;428;148;15;115;20;9;4;1;0;0;17;0;0;-76;51;25;691;42;455;53;0;0;0;40;340;212;0;0;0;0;978;448546
H114;4;360584;7260;173239;6063;210;0;2364;8090;91;11;117;74;108;10;46;110;108;36;297;38;33;6;2;0;0;9;0;0;-104;34;1;378;-32;385;35;-1;0;0;41;271;167;0;0;0;0;793;428622
H124;4;277780;10027;117825;14764;674;0;10770;10691;2017;200;149;302;127;37;55;111;58;48;279;24;19;4;0;0;0;18;0;0;-86;0;5;913;44;443;49;-1;0;0;34;382;229;0;0;0;0;455;548459
H125;4;270425;6892;144397;18030;363;0;8880;18964;590;102;149;122;99;12;52;147;158;28;183;24;37;6;4;0;0;14;0;0;-92;0;2;736;81;488;68;0;0;0;41;367;230;0;0;0;0;578;524137
H126;4;279845;8980;174812;19872;300;0;5757;14033;760;83;146;192;0;0;78;138;148;37;228;28;40;7;3;0;0;14;0;0;-93;0;2;447;-66;350;26;-2;0;0;34;249;152;0;0;0;0;536;486657
H127;4;316076;11061;147435;21558;437;0;4595;9950;249;95;142;176;132;0;38;176;89;54;279;28;20;5;0;0;0;7;0;0;-86;40;2;405;-65;362;26;-2;0;0;33;244;163;0;0;0;0;599;477347
H138;4;197491;2933;80525;24870;850;12639;153173;18173;1858;0;78;20;68;0;52;325;78;10;120;18;19;3;1;0;0;12;0;0;-81;17;31;734;85;495;68;0;0;0;41;344;222;1;0;0;0;861;498634
H139;4;299435;5964;137239;17796;233;0;3087;8442;80;51;83;26;0;0;31;67;59;20;320;16;20;4;1;0;0;15;0;0;-85;0;1;567;46;463;59;-1;0;0;42;295;184;0;0;0;0;537;520079
